id;pv_load;st_load;won_load;woff_load
1;0;0;61321.04131;17273.53276
2;0;0;57645.37361;16238.13341
3;0;0;55988.77684;15771.48644
4;0;0;52771.44424;14865.19556
5;0;0;52130.37425;14684.61246
6;0;0;47729.75824;13445.00232
7;0;0;43383.06401;12220.58141
8;0;0;43520.8641;12259.39834
9;3788.780995;545.5844633;43664.6555;12299.90296
10;23545.91486;3390.611739;36630.85946;10318.55196
11;48067.61326;6921.73631;26343.78296;7420.783933
12;73939.86389;10647.3404;25663.76946;7229.230834
13;91302.50566;13147.56081;29453.27201;8296.696342
14;99605.82317;14343.23854;35624.31965;10035.01962
15;92519.75212;13322.84431;42280.66326;11910.04599
16;77182.66533;11114.30381;44012.15139;12397.78912
17;54296.53651;7818.701258;45315.26096;12764.86224
18;26204.10268;3773.390786;40621.07084;11442.55517
19;2893.272479;416.6312369;39003.41758;10986.87819
20;0;0;45599.84811;12845.02764
21;0;0;50297.03388;14168.17856
22;0;0;54613.77157;15384.16101
23;0;0;59652.46192;16803.5104
24;0;0;66599.38399;18760.38986
